query,labels,source,count
build,,popular,2
c,,popular,1
create,,popular,1
create mainnet wallet,,popular,1
create new account on mainnet,,popular,1
defi actions,,popular,1
does flow have a token?,,popular,1
emulator,,popular,1
en enfant qui parle,,popular,1
en enfant qui parle des election au cameroun fu 12,,popular,1
en enfant qui parle des election au cameroun fu 12:09:2025,,popular,1
executetransaction,,popular,1
executetransaction test,,popular,1
flip-338,,popular,1
gen,,popular,1
genes,,popular,1
j,,popular,1
node,,popular,1
s,,popular,1
storage capacity,,popular,1
what is the token on flow?,,popular,1
